language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.82  T=0.46 s (207.9 files/s, 52601.5 lines/s)"
Java,./src/main/java/org/springframework/samples/petclinic/repository/jpa/JpaVetRepositoryImpl.java,7,24,17
XML,./src/main/resources/logback.xml,5,1,16
Java,./src/main/java/org/springframework/samples/petclinic/model/Vets.java,6,21,16
Java,./src/main/java/org/springframework/samples/petclinic/util/EntityUtils.java,7,34,16
Java,./src/main/java/org/springframework/samples/petclinic/repository/jdbc/JdbcVisitRowMapper.java,5,19,16
Java,./src/main/java/org/springframework/samples/petclinic/repository/springdatajpa/SpringDataOwnerRepository.java,5,21,15
JSP,./src/main/webapp/WEB-INF/jsp/welcome.jsp,1,0,13
Java,./src/main/java/org/springframework/samples/petclinic/repository/springdatajpa/SpringDataPetRepository.java,4,21,12
Java,./src/main/java/org/springframework/samples/petclinic/web/CrashController.java,5,23,11
Java,./src/main/java/org/springframework/samples/petclinic/repository/PetRepository.java,7,42,10
XML,./src/test/resources/spring/mvc-test-config.xml,3,0,9
Java,./src/main/java/org/springframework/samples/petclinic/repository/OwnerRepository.java,9,45,9
JSP,./src/main/webapp/WEB-INF/jsp/exception.jsp,5,0,9
Java,./src/test/java/org/springframework/samples/petclinic/service/ClinicServiceJdbcTests.java,5,22,9
Java,./src/main/java/org/springframework/samples/petclinic/repository/VisitRepository.java,6,30,8
Java,./src/main/java/org/springframework/samples/petclinic/model/PetType.java,3,19,7
Java,./src/test/java/org/springframework/samples/petclinic/service/ClinicServiceJpaTests.java,4,8,7
Java,./src/test/java/org/springframework/samples/petclinic/service/ClinicServiceSpringDataJpaTests.java,4,6,7
Java,./src/main/java/org/springframework/samples/petclinic/model/Specialty.java,3,20,7
Java,./src/main/java/org/springframework/samples/petclinic/repository/springdatajpa/SpringDataVetRepository.java,2,21,6
Java,./src/main/java/org/springframework/samples/petclinic/repository/VetRepository.java,6,29,6
Java,./src/main/java/org/springframework/samples/petclinic/repository/springdatajpa/SpringDataVisitRepository.java,2,21,6
XML,./src/main/webapp/WEB-INF/jetty-web.xml,0,2,5
Java,./src/main/java/org/springframework/samples/petclinic/repository/jdbc/package-info.java,1,4,1
Java,./src/main/java/org/springframework/samples/petclinic/web/package-info.java,1,3,1
Java,./src/main/java/org/springframework/samples/petclinic/model/package-info.java,1,3,1
Java,./src/main/java/org/springframework/samples/petclinic/repository/jpa/package-info.java,1,4,1
SUM,,1858,1615,20813
